id,event_type,route,port_id,severity,description,event_date,source
23,port_congestion,Mozambique-Visakhapatnam,21,Medium,[Samarinda / Mozambique-Visakhapatnam] Tidal window restrictions combined with dredging operations causing vessel hold-ups.,2024-08-16,Port Authority Circular
24,freight_anomaly,Mozambique-Visakhapatnam,5,High,[Gopalpur / Mozambique-Visakhapatnam] Panamax Atlantic round voyage rates collapsed -12% on low grain demand.,2022-04-18,Baltic Exchange Market Monitor
25,weather,Australia-Dhamra,10,Medium,[Tuticorin (V.O.C.) / Australia-Dhamra] Tropical Cyclone alert issued for Bay of Bengal; port operations suspended for 48 hours.,2025-01-09,Marine Weather Routing Service
26,freight_anomaly,Australia-Visakhapatnam,5,Medium,[Gopalpur / Australia-Visakhapatnam] Panamax Atlantic round voyage rates collapsed -12% on low grain demand.,2023-07-24,Clarksons Intelligence
27,freight_anomaly,Australia-Mundra,3,High,[Gangavaram / Australia-Mundra] BDI index surged 250 points following unexpected chartering volume for Queensland coal.,2021-11-10,Baltic Exchange Market Monitor
28,port_congestion,Indonesia-Haldia,28,High,[Singapore / Indonesia-Haldia] Mechanized coal conveyor breakdown causing delayed discharge at mechanized berths.,2024-05-17,Terminal Operations Log
29,port_congestion,Indonesia-Mundra,7,Medium,[Kolkata / Indonesia-Mundra] High yard inventory utilization (>92%) slowing down discharge rates.,2024-12-23,AIS Congestion Tracker
30,freight_anomaly,Indonesia-Haldia,26,Low,[Vostochny / Indonesia-Haldia] Bunker fuel price volatility exceeds 90th percentile following crude market rally.,2024-12-06,Clarksons Intelligence
31,weather,Australia-Gopalpur,13,Medium,[Nhava Sheva (JNPT) / Australia-Gopalpur] Typhoon warning in South China Sea requiring southern deviation for westbound bulkers.,2024-05-01,JTWC Cyclone Warning
32,freight_anomaly,India-Chennai,21,Medium,[Samarinda / India-Chennai] Bunker fuel price volatility exceeds 90th percentile following crude market rally.,2022-05-24,Clarksons Intelligence
33,port_congestion,Australia-Gangavaram,14,Medium,[Cochin / Australia-Gangavaram] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2023-08-16,Terminal Operations Log
34,port_congestion,Mozambique-Visakhapatnam,21,High,[Samarinda / Mozambique-Visakhapatnam] High yard inventory utilization (>92%) slowing down discharge rates.,2022-01-15,Terminal Operations Log
35,freight_anomaly,Indonesia-Paradip,17,Low,[Newcastle / Indonesia-Paradip] Bunker fuel price volatility exceeds 90th percentile following crude market rally.,2023-11-10,Clarksons Intelligence
36,freight_anomaly,Australia-Visakhapatnam,5,High,[Gopalpur / Australia-Visakhapatnam] Panamax Atlantic round voyage rates collapsed -12% on low grain demand.,2021-01-31,Baltic Exchange Market Monitor
37,weather,Mozambique-Paradip,14,High,[Cochin / Mozambique-Paradip] Dense fog conditions restricting channel navigation to daylight hours only.,2022-12-18,JTWC Cyclone Warning
38,port_congestion,USA-Gangavaram,5,Low,[Gopalpur / USA-Gangavaram] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2021-01-08,Port Authority Circular
39,geopolitical,Indonesia-Haldia,1,Low,[Paradip / Indonesia-Haldia] Red Sea security advisory prompting operators to route via Cape of Good Hope (+14 days).,2022-11-11,Ministry Trade Notice
40,geopolitical,Australia-Haldia,31,Low,[Rotterdam / Australia-Haldia] Sanction compliance verification tightening on Far East coal flows.,2024-08-13,Maritime Security Advisory
41,freight_anomaly,Australia-Gangavaram,26,Low,[Vostochny / Australia-Gangavaram] Sudden freight spike (+18% DoD) driven by tightening Capesize tonnage in Pacific basin.,2024-02-17,FreightIQ Anomaly Engine
42,weather,Australia-Gangavaram,32,Medium,[Shanghai (Qingdao) / Australia-Gangavaram] Heavy monsoon swell (>4.2m) preventing safe pilot boarding at outer anchorage.,2022-12-01,JTWC Cyclone Warning
43,port_congestion,Australia-Visakhapatnam,5,Medium,[Gopalpur / Australia-Visakhapatnam] Mechanized coal conveyor breakdown causing delayed discharge at mechanized berths.,2023-07-01,Port Authority Circular
44,geopolitical,USA-Visakhapatnam,9,Low,[Kamarajar (Ennore) / USA-Visakhapatnam] Canal transit quota reduction increasing reservation auction premiums.,2021-02-04,Maritime Security Advisory
45,freight_anomaly,Mozambique-Paradip,2,High,[Visakhapatnam / Mozambique-Paradip] Sudden freight spike (+18% DoD) driven by tightening Capesize tonnage in Pacific basin.,2022-09-24,FreightIQ Anomaly Engine
46,weather,Indonesia-Mundra,26,Low,[Vostochny / Indonesia-Mundra] Dense fog conditions restricting channel navigation to daylight hours only.,2023-12-05,India Meteorological Department (IMD)
47,weather,Indonesia-Mundra,25,Low,[Beira / Indonesia-Mundra] Tropical Cyclone alert issued for Bay of Bengal; port operations suspended for 48 hours.,2024-06-05,Marine Weather Routing Service
48,geopolitical,Indonesia-Visakhapatnam,3,Low,[Gangavaram / Indonesia-Visakhapatnam] Red Sea security advisory prompting operators to route via Cape of Good Hope (+14 days).,2023-04-01,Maritime Security Advisory
49,port_congestion,Australia-Gopalpur,30,Low,[Colombo / Australia-Gopalpur] Mechanized coal conveyor breakdown causing delayed discharge at mechanized berths.,2025-11-11,Port Authority Circular
50,port_congestion,Mozambique-Gangavaram,24,Medium,[Maputo / Mozambique-Gangavaram] High yard inventory utilization (>92%) slowing down discharge rates.,2024-10-12,Terminal Operations Log
51,freight_anomaly,Australia-Dhamra,14,Low,[Cochin / Australia-Dhamra] BDI index surged 250 points following unexpected chartering volume for Queensland coal.,2021-10-06,Baltic Exchange Market Monitor
52,freight_anomaly,Indonesia-Paradip,4,Low,[Dhamra / Indonesia-Paradip] Panamax Atlantic round voyage rates collapsed -12% on low grain demand.,2022-02-28,FreightIQ Anomaly Engine
53,port_congestion,Australia-Gopalpur,23,Medium,[Baltimore / Australia-Gopalpur] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2023-06-05,Terminal Operations Log
54,geopolitical,Mozambique-Paradip,7,Low,[Kolkata / Mozambique-Paradip] Red Sea security advisory prompting operators to route via Cape of Good Hope (+14 days).,2022-08-27,Ministry Trade Notice
55,geopolitical,Mozambique-Visakhapatnam,5,Medium,[Gopalpur / Mozambique-Visakhapatnam] Export tariff modification announced by major coal-producing authority.,2022-07-29,Lloyd's List Intelligence
56,weather,India-Haldia,16,Medium,[Gladstone / India-Haldia] Typhoon warning in South China Sea requiring southern deviation for westbound bulkers.,2025-11-23,JTWC Cyclone Warning
57,geopolitical,Indonesia-Paradip,32,Low,[Shanghai (Qingdao) / Indonesia-Paradip] Red Sea security advisory prompting operators to route via Cape of Good Hope (+14 days).,2023-10-27,Lloyd's List Intelligence
58,weather,Australia-Haldia,19,Medium,[Balikpapan / Australia-Haldia] Tropical Cyclone alert issued for Bay of Bengal; port operations suspended for 48 hours.,2021-03-18,JTWC Cyclone Warning
59,freight_anomaly,Indonesia-Mundra,20,Low,[Tanjung Priok / Indonesia-Mundra] Sudden freight spike (+18% DoD) driven by tightening Capesize tonnage in Pacific basin.,2023-03-13,FreightIQ Anomaly Engine
60,weather,USA-Gangavaram,29,Low,[Port Klang / USA-Gangavaram] Typhoon warning in South China Sea requiring southern deviation for westbound bulkers.,2023-06-02,Marine Weather Routing Service
61,weather,Mozambique-Visakhapatnam,13,Medium,[Nhava Sheva (JNPT) / Mozambique-Visakhapatnam] Heavy monsoon swell (>4.2m) preventing safe pilot boarding at outer anchorage.,2021-02-12,India Meteorological Department (IMD)
62,geopolitical,USA-Gangavaram,4,Low,[Dhamra / USA-Gangavaram] Export tariff modification announced by major coal-producing authority.,2023-10-16,Ministry Trade Notice
63,port_congestion,USA-Gangavaram,2,Low,[Visakhapatnam / USA-Gangavaram] Tidal window restrictions combined with dredging operations causing vessel hold-ups.,2021-12-02,AIS Congestion Tracker
64,geopolitical,Indonesia-Mundra,2,Medium,[Visakhapatnam / Indonesia-Mundra] Sanction compliance verification tightening on Far East coal flows.,2021-03-11,Lloyd's List Intelligence
65,port_congestion,Australia-Paradip,6,Medium,[Haldia / Australia-Paradip] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2024-08-28,Port Authority Circular
66,geopolitical,Mozambique-Visakhapatnam,12,Low,[Kandla (Deendayal) / Mozambique-Visakhapatnam] Sanction compliance verification tightening on Far East coal flows.,2024-06-26,Maritime Security Advisory
67,freight_anomaly,USA-Gangavaram,5,Low,[Gopalpur / USA-Gangavaram] Sudden freight spike (+18% DoD) driven by tightening Capesize tonnage in Pacific basin.,2023-12-22,FreightIQ Anomaly Engine
68,port_congestion,USA-Mundra,30,Low,[Colombo / USA-Mundra] Mechanized coal conveyor breakdown causing delayed discharge at mechanized berths.,2024-06-06,Terminal Operations Log
69,weather,Mozambique-Paradip,1,High,[Paradip / Mozambique-Paradip] Typhoon warning in South China Sea requiring southern deviation for westbound bulkers.,2023-07-29,India Meteorological Department (IMD)
70,port_congestion,USA-Mundra,11,Medium,[Mundra / USA-Mundra] Tidal window restrictions combined with dredging operations causing vessel hold-ups.,2024-07-13,Port Authority Circular
71,freight_anomaly,USA-Gangavaram,31,Low,[Rotterdam / USA-Gangavaram] BDI index surged 250 points following unexpected chartering volume for Queensland coal.,2021-02-11,Clarksons Intelligence
72,freight_anomaly,Mozambique-Paradip,31,Low,[Rotterdam / Mozambique-Paradip] Panamax Atlantic round voyage rates collapsed -12% on low grain demand.,2021-11-12,Clarksons Intelligence
73,port_congestion,Indonesia-Visakhapatnam,13,Low,[Nhava Sheva (JNPT) / Indonesia-Visakhapatnam] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2023-07-15,Terminal Operations Log
74,port_congestion,Mozambique-Gangavaram,26,High,[Vostochny / Mozambique-Gangavaram] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2025-07-15,AIS Congestion Tracker
75,freight_anomaly,Indonesia-Mundra,9,Medium,[Kamarajar (Ennore) / Indonesia-Mundra] Sudden freight spike (+18% DoD) driven by tightening Capesize tonnage in Pacific basin.,2022-02-08,FreightIQ Anomaly Engine
76,geopolitical,USA-Gangavaram,9,Medium,[Kamarajar (Ennore) / USA-Gangavaram] Export tariff modification announced by major coal-producing authority.,2025-03-14,Lloyd's List Intelligence
77,port_congestion,Russia-Visakhapatnam,14,Medium,[Cochin / Russia-Visakhapatnam] Tidal window restrictions combined with dredging operations causing vessel hold-ups.,2024-08-18,Terminal Operations Log
78,port_congestion,Australia-Visakhapatnam,4,Low,[Dhamra / Australia-Visakhapatnam] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2021-03-15,AIS Congestion Tracker
79,weather,Australia-Visakhapatnam,19,Low,[Balikpapan / Australia-Visakhapatnam] Tropical Cyclone alert issued for Bay of Bengal; port operations suspended for 48 hours.,2022-07-04,Marine Weather Routing Service
80,geopolitical,Australia-Gangavaram,27,Medium,[Vanino / Australia-Gangavaram] Canal transit quota reduction increasing reservation auction premiums.,2021-12-19,Ministry Trade Notice
81,port_congestion,Indonesia-Haldia,26,Low,[Vostochny / Indonesia-Haldia] Mechanized coal conveyor breakdown causing delayed discharge at mechanized berths.,2022-05-03,Terminal Operations Log
82,freight_anomaly,USA-Paradip,19,Medium,[Balikpapan / USA-Paradip] Sudden freight spike (+18% DoD) driven by tightening Capesize tonnage in Pacific basin.,2023-01-15,Clarksons Intelligence
83,geopolitical,Australia-Paradip,27,Medium,[Vanino / Australia-Paradip] Red Sea security advisory prompting operators to route via Cape of Good Hope (+14 days).,2021-08-28,Maritime Security Advisory
84,freight_anomaly,USA-Mundra,10,Medium,[Tuticorin (V.O.C.) / USA-Mundra] Panamax Atlantic round voyage rates collapsed -12% on low grain demand.,2023-11-30,FreightIQ Anomaly Engine
85,freight_anomaly,USA-Mundra,22,Low,[Norfolk (Hampton Roads) / USA-Mundra] Bunker fuel price volatility exceeds 90th percentile following crude market rally.,2021-09-22,Baltic Exchange Market Monitor
86,geopolitical,India-Haldia,17,Low,[Newcastle / India-Haldia] Canal transit quota reduction increasing reservation auction premiums.,2025-01-01,Lloyd's List Intelligence
87,weather,Australia-Gangavaram,22,Medium,[Norfolk (Hampton Roads) / Australia-Gangavaram] Dense fog conditions restricting channel navigation to daylight hours only.,2023-11-13,Marine Weather Routing Service
88,geopolitical,Indonesia-Paradip,15,Low,[Hay Point / Indonesia-Paradip] Sanction compliance verification tightening on Far East coal flows.,2023-12-06,Lloyd's List Intelligence
89,weather,Mozambique-Visakhapatnam,16,High,[Gladstone / Mozambique-Visakhapatnam] Heavy monsoon swell (>4.2m) preventing safe pilot boarding at outer anchorage.,2023-11-29,JTWC Cyclone Warning
90,weather,Russia-Paradip,17,Low,[Newcastle / Russia-Paradip] Dense fog conditions restricting channel navigation to daylight hours only.,2025-04-25,JTWC Cyclone Warning
91,freight_anomaly,USA-Visakhapatnam,26,Low,[Vostochny / USA-Visakhapatnam] Sudden freight spike (+18% DoD) driven by tightening Capesize tonnage in Pacific basin.,2025-02-07,Baltic Exchange Market Monitor
92,geopolitical,Australia-Mundra,21,Low,[Samarinda / Australia-Mundra] Canal transit quota reduction increasing reservation auction premiums.,2024-10-01,Lloyd's List Intelligence
93,geopolitical,Indonesia-Gangavaram,25,High,[Beira / Indonesia-Gangavaram] Red Sea security advisory prompting operators to route via Cape of Good Hope (+14 days).,2021-09-04,Ministry Trade Notice
94,geopolitical,USA-Paradip,16,High,[Gladstone / USA-Paradip] Export tariff modification announced by major coal-producing authority.,2023-01-16,Maritime Security Advisory
95,geopolitical,Russia-Paradip,10,Low,[Tuticorin (V.O.C.) / Russia-Paradip] Sanction compliance verification tightening on Far East coal flows.,2022-01-15,Lloyd's List Intelligence
96,port_congestion,Australia-Haldia,28,Medium,[Singapore / Australia-Haldia] High yard inventory utilization (>92%) slowing down discharge rates.,2021-09-24,Terminal Operations Log
97,weather,India-Haldia,30,Low,[Colombo / India-Haldia] Dense fog conditions restricting channel navigation to daylight hours only.,2025-02-26,India Meteorological Department (IMD)
98,port_congestion,USA-Visakhapatnam,9,Low,[Kamarajar (Ennore) / USA-Visakhapatnam] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2023-07-11,Port Authority Circular
99,geopolitical,India-Haldia,5,Low,[Gopalpur / India-Haldia] Red Sea security advisory prompting operators to route via Cape of Good Hope (+14 days).,2026-01-30,Maritime Security Advisory
100,port_congestion,USA-Visakhapatnam,30,Medium,[Colombo / USA-Visakhapatnam] Mechanized coal conveyor breakdown causing delayed discharge at mechanized berths.,2023-12-19,Terminal Operations Log
101,port_congestion,Australia-Dhamra,2,Medium,[Visakhapatnam / Australia-Dhamra] Mechanized coal conveyor breakdown causing delayed discharge at mechanized berths.,2025-07-26,Terminal Operations Log
102,port_congestion,Australia-Gangavaram,31,Medium,[Rotterdam / Australia-Gangavaram] Mechanized coal conveyor breakdown causing delayed discharge at mechanized berths.,2022-03-07,AIS Congestion Tracker
103,port_congestion,Australia-Gangavaram,20,Medium,[Tanjung Priok / Australia-Gangavaram] Mechanized coal conveyor breakdown causing delayed discharge at mechanized berths.,2021-07-02,Port Authority Circular
104,port_congestion,Australia-Dhamra,27,High,[Vanino / Australia-Dhamra] High yard inventory utilization (>92%) slowing down discharge rates.,2022-03-25,AIS Congestion Tracker
105,port_congestion,Indonesia-Gangavaram,28,Medium,[Singapore / Indonesia-Gangavaram] High yard inventory utilization (>92%) slowing down discharge rates.,2021-06-08,Port Authority Circular
106,weather,Indonesia-Gangavaram,30,High,[Colombo / Indonesia-Gangavaram] Dense fog conditions restricting channel navigation to daylight hours only.,2021-06-05,Marine Weather Routing Service
107,port_congestion,Indonesia-Dhamra,24,Low,[Maputo / Indonesia-Dhamra] Mechanized coal conveyor breakdown causing delayed discharge at mechanized berths.,2024-08-21,Port Authority Circular
108,freight_anomaly,Indonesia-Dhamra,27,Low,[Vanino / Indonesia-Dhamra] Panamax Atlantic round voyage rates collapsed -12% on low grain demand.,2026-01-16,Baltic Exchange Market Monitor
109,port_congestion,Australia-Mundra,7,Low,[Kolkata / Australia-Mundra] High yard inventory utilization (>92%) slowing down discharge rates.,2023-11-23,Port Authority Circular
110,freight_anomaly,Australia-Gangavaram,5,Low,[Gopalpur / Australia-Gangavaram] BDI index surged 250 points following unexpected chartering volume for Queensland coal.,2025-12-15,Baltic Exchange Market Monitor
111,freight_anomaly,Mozambique-Paradip,23,Medium,[Baltimore / Mozambique-Paradip] BDI index surged 250 points following unexpected chartering volume for Queensland coal.,2023-09-08,Baltic Exchange Market Monitor
112,freight_anomaly,Australia-Paradip,26,Medium,[Vostochny / Australia-Paradip] BDI index surged 250 points following unexpected chartering volume for Queensland coal.,2024-02-25,Baltic Exchange Market Monitor
113,weather,Russia-Paradip,5,High,[Gopalpur / Russia-Paradip] Tropical Cyclone alert issued for Bay of Bengal; port operations suspended for 48 hours.,2025-03-22,Marine Weather Routing Service
114,weather,Indonesia-Haldia,7,Medium,[Kolkata / Indonesia-Haldia] Tropical Cyclone alert issued for Bay of Bengal; port operations suspended for 48 hours.,2021-01-11,India Meteorological Department (IMD)
115,port_congestion,India-Haldia,11,Medium,[Mundra / India-Haldia] Mechanized coal conveyor breakdown causing delayed discharge at mechanized berths.,2024-05-13,Port Authority Circular
116,freight_anomaly,USA-Mundra,13,Low,[Nhava Sheva (JNPT) / USA-Mundra] Panamax Atlantic round voyage rates collapsed -12% on low grain demand.,2023-04-08,FreightIQ Anomaly Engine
117,freight_anomaly,Indonesia-Dhamra,12,Medium,[Kandla (Deendayal) / Indonesia-Dhamra] Panamax Atlantic round voyage rates collapsed -12% on low grain demand.,2025-10-03,Baltic Exchange Market Monitor
118,port_congestion,Indonesia-Paradip,7,Medium,[Kolkata / Indonesia-Paradip] Mechanized coal conveyor breakdown causing delayed discharge at mechanized berths.,2022-10-27,AIS Congestion Tracker
119,port_congestion,USA-Mundra,11,Low,[Mundra / USA-Mundra] Mechanized coal conveyor breakdown causing delayed discharge at mechanized berths.,2024-02-28,AIS Congestion Tracker
120,weather,Mozambique-Gangavaram,7,Low,[Kolkata / Mozambique-Gangavaram] Tropical Cyclone alert issued for Bay of Bengal; port operations suspended for 48 hours.,2023-05-14,Marine Weather Routing Service
121,weather,Australia-Haldia,2,Medium,[Visakhapatnam / Australia-Haldia] Typhoon warning in South China Sea requiring southern deviation for westbound bulkers.,2021-11-08,JTWC Cyclone Warning
122,port_congestion,Indonesia-Paradip,13,High,[Nhava Sheva (JNPT) / Indonesia-Paradip] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2022-03-23,Terminal Operations Log
123,weather,Indonesia-Haldia,31,High,[Rotterdam / Indonesia-Haldia] Heavy monsoon swell (>4.2m) preventing safe pilot boarding at outer anchorage.,2021-01-28,India Meteorological Department (IMD)
124,geopolitical,Indonesia-Mundra,24,Low,[Maputo / Indonesia-Mundra] Red Sea security advisory prompting operators to route via Cape of Good Hope (+14 days).,2022-11-29,Lloyd's List Intelligence
125,port_congestion,Australia-Gopalpur,11,Low,[Mundra / Australia-Gopalpur] High yard inventory utilization (>92%) slowing down discharge rates.,2024-05-13,AIS Congestion Tracker
126,port_congestion,USA-Gangavaram,28,Low,[Singapore / USA-Gangavaram] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2023-06-20,AIS Congestion Tracker
127,port_congestion,Indonesia-Gangavaram,5,Medium,[Gopalpur / Indonesia-Gangavaram] Mechanized coal conveyor breakdown causing delayed discharge at mechanized berths.,2023-11-29,Port Authority Circular
128,port_congestion,Indonesia-Paradip,32,Medium,[Shanghai (Qingdao) / Indonesia-Paradip] Tidal window restrictions combined with dredging operations causing vessel hold-ups.,2023-05-01,Terminal Operations Log
129,port_congestion,USA-Visakhapatnam,27,Medium,[Vanino / USA-Visakhapatnam] High yard inventory utilization (>92%) slowing down discharge rates.,2023-10-18,AIS Congestion Tracker
130,port_congestion,USA-Visakhapatnam,6,Low,[Haldia / USA-Visakhapatnam] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2022-04-28,AIS Congestion Tracker
131,port_congestion,Mozambique-Gangavaram,22,High,[Norfolk (Hampton Roads) / Mozambique-Gangavaram] Tidal window restrictions combined with dredging operations causing vessel hold-ups.,2025-03-24,AIS Congestion Tracker
132,port_congestion,Australia-Paradip,28,Medium,[Singapore / Australia-Paradip] High yard inventory utilization (>92%) slowing down discharge rates.,2021-10-26,AIS Congestion Tracker
133,weather,India-Haldia,11,Low,[Mundra / India-Haldia] Heavy monsoon swell (>4.2m) preventing safe pilot boarding at outer anchorage.,2022-05-15,India Meteorological Department (IMD)
134,port_congestion,USA-Visakhapatnam,31,Medium,[Rotterdam / USA-Visakhapatnam] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2021-10-11,Terminal Operations Log
135,geopolitical,Australia-Mundra,18,Medium,[Port Hedland / Australia-Mundra] Export tariff modification announced by major coal-producing authority.,2023-10-02,Ministry Trade Notice
136,port_congestion,India-Chennai,5,Medium,[Gopalpur / India-Chennai] Tidal window restrictions combined with dredging operations causing vessel hold-ups.,2024-05-16,Port Authority Circular
137,geopolitical,Indonesia-Mundra,26,High,[Vostochny / Indonesia-Mundra] Canal transit quota reduction increasing reservation auction premiums.,2021-05-09,Maritime Security Advisory
138,freight_anomaly,Australia-Gangavaram,21,Low,[Samarinda / Australia-Gangavaram] Bunker fuel price volatility exceeds 90th percentile following crude market rally.,2022-06-21,Baltic Exchange Market Monitor
139,port_congestion,Australia-Haldia,20,Low,[Tanjung Priok / Australia-Haldia] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2024-03-06,Port Authority Circular
140,freight_anomaly,Australia-Gangavaram,8,Low,[Chennai / Australia-Gangavaram] Sudden freight spike (+18% DoD) driven by tightening Capesize tonnage in Pacific basin.,2025-06-05,Clarksons Intelligence
141,port_congestion,Russia-Paradip,18,Medium,[Port Hedland / Russia-Paradip] Tidal window restrictions combined with dredging operations causing vessel hold-ups.,2022-06-12,Port Authority Circular
142,freight_anomaly,USA-Gangavaram,30,Low,[Colombo / USA-Gangavaram] Panamax Atlantic round voyage rates collapsed -12% on low grain demand.,2021-02-15,FreightIQ Anomaly Engine
143,freight_anomaly,Australia-Paradip,7,Low,[Kolkata / Australia-Paradip] BDI index surged 250 points following unexpected chartering volume for Queensland coal.,2021-09-08,FreightIQ Anomaly Engine
144,port_congestion,Australia-Mundra,22,Medium,[Norfolk (Hampton Roads) / Australia-Mundra] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2024-12-04,Terminal Operations Log
145,port_congestion,Mozambique-Paradip,17,Low,[Newcastle / Mozambique-Paradip] Mechanized coal conveyor breakdown causing delayed discharge at mechanized berths.,2021-12-21,AIS Congestion Tracker
146,freight_anomaly,Indonesia-Mundra,3,Medium,[Gangavaram / Indonesia-Mundra] Sudden freight spike (+18% DoD) driven by tightening Capesize tonnage in Pacific basin.,2021-11-18,FreightIQ Anomaly Engine
147,freight_anomaly,Indonesia-Mundra,14,Medium,[Cochin / Indonesia-Mundra] Bunker fuel price volatility exceeds 90th percentile following crude market rally.,2021-08-02,Clarksons Intelligence
148,port_congestion,Indonesia-Dhamra,7,Low,[Kolkata / Indonesia-Dhamra] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2025-12-22,Terminal Operations Log
149,port_congestion,USA-Gangavaram,15,Medium,[Hay Point / USA-Gangavaram] High yard inventory utilization (>92%) slowing down discharge rates.,2024-01-22,Port Authority Circular
150,port_congestion,Australia-Haldia,11,Medium,[Mundra / Australia-Haldia] High yard inventory utilization (>92%) slowing down discharge rates.,2023-07-16,Terminal Operations Log
151,port_congestion,Mozambique-Gangavaram,23,Medium,[Baltimore / Mozambique-Gangavaram] Mechanized coal conveyor breakdown causing delayed discharge at mechanized berths.,2022-04-17,Port Authority Circular
