route_id,route,route_name,origin_port_id,destination_port_id,distance_nm,typical_transit_hours,canal_required,canal_type,piracy_risk,weather_risk,congestion_risk,historical_delay_rate,typical_fuel_consumption,route_risk_score
21,Indonesia-Visakhapatnam,Tanjung Priok to Visakhapatnam,20,2,1880,156.6,Sunda Strait / Bay of Bengal,Direct Sea,Low,Medium,Low,0.11,192.8,2.89
22,Indonesia-Paradip,Samarinda to Paradip,21,1,2360,193.5,River / Malacca Strait,Malacca,Low,Medium,Medium,0.18,242.1,4.13
23,USA-Paradip,Norfolk (Hampton Roads) to Paradip,22,1,11650,908.2,Cape of Good Hope,Cape,Low,High,Medium,0.18,1194.9,5.51
24,USA-Visakhapatnam,Norfolk (Hampton Roads) to Visakhapatnam,22,2,11580,902.8,Cape of Good Hope,Cape,Low,High,Low,0.16,1187.7,4.7
25,USA-Gangavaram,Norfolk (Hampton Roads) to Gangavaram,22,3,11575,902.4,Cape of Good Hope,Cape,Low,High,Low,0.15,1187.2,4.81
26,USA-Paradip,Baltimore to Paradip,23,1,11720,913.5,Cape of Good Hope,Cape,Low,High,Medium,0.19,1202.1,5.92
27,USA-Visakhapatnam,Baltimore to Visakhapatnam,23,2,11650,908.2,Cape of Good Hope,Cape,Low,High,Low,0.17,1194.9,4.34
28,Mozambique-Paradip,Maputo to Paradip,24,1,4420,352.0,Mozambique Channel / Indian Ocean,Direct Sea,Low,Medium,Medium,0.14,453.3,4.28
29,Mozambique-Visakhapatnam,Maputo to Visakhapatnam,24,2,4350,346.6,Mozambique Channel / Indian Ocean,Direct Sea,Low,Medium,Low,0.13,446.2,2.87
30,Mozambique-Gangavaram,Maputo to Gangavaram,24,3,4345,346.2,Mozambique Channel / Indian Ocean,Direct Sea,Low,Medium,Low,0.12,445.6,2.48
31,Mozambique-Paradip,Beira to Paradip,25,1,4210,335.8,Mozambique Channel / Indian Ocean,Direct Sea,Low,High,High,0.22,431.8,7.23
32,Russia-Paradip,Vostochny to Paradip,26,1,5280,418.2,Sea of Japan / Malacca Strait,Malacca,Low,High,Medium,0.16,541.5,5.67
33,Russia-Visakhapatnam,Vostochny to Visakhapatnam,26,2,5210,412.8,Sea of Japan / Malacca Strait,Malacca,Low,High,Low,0.14,534.4,5.2
34,Russia-Paradip,Vanino to Paradip,27,1,5580,441.2,Tatar Strait / Malacca Strait,Malacca,Low,High,Medium,0.2,572.3,6.06
35,Australia-Mundra,Hay Point to Mundra,15,11,5620,444.3,Torres Strait / Malacca / Arabian Sea,Malacca,Low,Low,Low,0.08,576.4,1.71
36,Indonesia-Mundra,Tanjung Priok to Mundra,20,11,2750,223.5,Malacca Strait / Arabian Sea,Malacca,Low,Low,Low,0.08,282.1,1.57
37,USA-Mundra,Norfolk (Hampton Roads) to Mundra,22,11,10900,850.5,Cape of Good Hope,Cape,Low,High,Low,0.14,1117.9,4.47
38,India-Chennai,Paradip to Chennai,1,8,640,61.2,Coastal Bay of Bengal,Direct Sea,Low,Medium,Low,0.08,65.6,2.55
39,India-Haldia,Visakhapatnam to Haldia,2,6,480,48.9,Coastal Bay of Bengal,Direct Sea,Low,High,High,0.24,49.2,6.5
40,India-Haldia,Paradip to Haldia,1,6,210,28.2,Coastal Bay of Bengal,Direct Sea,Low,High,High,0.25,21.5,6.76
